worker_id,name,city,zone_id,registration_date,weeks_active,is_eligible,worker_type,platforms,n_platforms,hours_per_day,active_days_per_week,weekly_earnings_avg,loyalty_weeks,loyalty_discount,autopay_enabled,autopay_discount,multi_platform_score,hist_claim_count,zone_risk_score
W000001,Kiran Gupta,Kolkata,Z0082,2024-01-25,100,True,full_time,Zomato|Zepto,2,7.8,5,3397.56,5,0.05,False,0.0,0.494,2,0.469
W000002,Suresh Reddy,Mumbai,Z0032,2025-04-18,36,True,part_time,Swiggy,1,4.0,6,1566.52,0,0.0,False,0.0,0.25,2,0.4129
W000003,Sunita Mehta,Ahmedabad,Z0095,2025-05-03,34,True,part_time,Zomato|Zepto|Amazon_Flex,3,4.9,5,2299.91,0,0.0,False,0.0,0.676,3,0.2869
W000004,Ganesh Murugan,Chennai,Z0005,2024-09-08,68,True,full_time,Zomato|Zepto|Blinkit|Amazon_Flex,4,9.0,3,3081.29,20,0.15,True,0.05,0.857,1,0.3739
W000005,Nisha Krishnan,Kolkata,Z0078,2025-08-03,21,True,part_time,Zomato|Swiggy,2,3.2,6,1235.23,8,0.08,False,0.0,0.436,1,0.425
W000006,Kiran Gupta,Bengaluru,Z0054,2025-06-30,26,True,full_time,Swiggy|Blinkit|Amazon_Flex,3,7.1,5,3707.12,3,0.03,False,0.0,0.689,1,0.3261
W000007,Kavitha Nair,Bengaluru,Z0104,2025-07-01,26,True,super_active,Zomato,1,11.5,7,5326.11,2,0.02,True,0.05,0.209,0,0.5
W000008,Kiran Gupta,Ahmedabad,Z0090,2024-05-20,84,True,part_time,Blinkit|Amazon_Flex,2,3.2,4,766.31,0,0.0,True,0.05,0.499,3,0.3766
W000009,Arjun Singh,Delhi,Z0020,2025-10-18,10,True,full_time,Swiggy|Amazon_Flex|Zomato,3,9.0,5,5459.74,10,0.1,True,0.05,0.683,0,0.4737
W000010,Lakshmi Rao,Bengaluru,Z0049,2025-05-14,33,True,part_time,Zomato,1,4.9,5,1662.69,5,0.05,False,0.0,0.253,0,0.373
W000011,Priya Sharma,Mumbai,Z0045,2025-10-17,10,True,super_active,Zepto|Amazon_Flex,2,12.5,6,5301.9,2,0.02,True,0.05,0.404,1,0.652
W000012,Nisha Krishnan,Ahmedabad,Z0094,2024-06-29,78,True,full_time,Blinkit,1,7.8,4,2339.05,5,0.05,True,0.05,0.222,3,0.3162
W000013,Arjun Singh,Delhi,Z0016,2025-01-03,51,True,super_active,Blinkit,1,12.2,6,7189.25,2,0.02,True,0.05,0.216,1,0.3557
W000014,Manoj Iyer,Pune,Z0071,2024-12-27,52,True,full_time,Amazon_Flex|Zepto|Blinkit,3,7.3,6,2858.97,13,0.13,True,0.05,0.634,1,0.3685
W000015,Deepa Pillai,Ahmedabad,Z0091,2024-05-08,86,True,full_time,Zomato|Zepto|Amazon_Flex,3,7.6,7,4617.74,6,0.06,False,0.0,0.611,6,0.3129
W000016,Meena Patel,Kolkata,Z0099,2024-08-21,71,True,part_time,Amazon_Flex|Zomato|Blinkit,3,3.6,5,1257.4,7,0.07,True,0.05,0.687,5,0.75
W000017,Arun Shah,Bengaluru,Z0049,2024-03-12,94,True,full_time,Amazon_Flex,1,7.5,4,2440.59,13,0.13,True,0.05,0.284,3,0.373
W000018,Manoj Iyer,Kolkata,Z0082,2024-10-04,64,True,full_time,Amazon_Flex|Swiggy|Blinkit|Zepto,4,7.8,5,3124.0,33,0.15,True,0.05,0.889,1,0.469
W000019,Arjun Singh,Kolkata,Z0086,2024-07-12,76,True,full_time,Amazon_Flex,1,8.1,4,1792.45,6,0.06,True,0.05,0.28,4,0.4704
W000020,Nisha Krishnan,Kolkata,Z0078,2024-09-19,66,True,part_time,Swiggy,1,4.4,5,1108.25,6,0.06,True,0.05,0.28,2,0.425
W000021,Kavitha Nair,Ahmedabad,Z0094,2025-02-01,47,True,full_time,Swiggy,1,8.4,6,4337.78,11,0.11,True,0.05,0.21,1,0.3162
W000022,Kiran Gupta,Hyderabad,Z0060,2025-09-17,15,True,full_time,Blinkit,1,7.0,5,2187.94,3,0.03,True,0.05,0.208,0,0.3518
W000023,Deepa Pillai,Kolkata,Z0082,2025-09-19,14,True,full_time,Zepto,1,7.4,4,2407.42,14,0.14,False,0.0,0.28,0,0.469
W000024,Priya Sharma,Ahmedabad,Z0088,2025-12-11,2,True,full_time,Amazon_Flex|Zomato|Blinkit,3,8.2,5,2506.5,1,0.01,True,0.05,0.672,0,0.3382
W000025,Kiran Gupta,Bengaluru,Z0104,2024-06-29,78,True,super_active,Amazon_Flex|Blinkit,2,11.3,4,4647.62,6,0.06,False,0.0,0.423,5,0.5
W000026,Ramesh Sundar,Chennai,Z0009,2024-12-30,52,True,full_time,Swiggy,1,8.9,6,4665.43,10,0.1,False,0.0,0.25,3,0.4084
W000027,Manoj Iyer,Ahmedabad,Z0092,2024-05-19,84,True,full_time,Amazon_Flex,1,8.3,4,2064.92,14,0.14,True,0.05,0.278,4,0.2687
W000028,Rohit Joshi,Kolkata,Z0084,2024-06-13,80,True,part_time,Blinkit,1,4.7,5,1574.59,1,0.01,True,0.05,0.297,4,0.4442
W000029,Deepa Pillai,Kolkata,Z0083,2025-02-18,45,True,part_time,Blinkit|Swiggy|Zepto|Zomato,4,4.8,5,2298.88,7,0.07,False,0.0,0.825,1,0.4231
W000030,Ramesh Sundar,Chennai,Z0096,2024-01-31,100,True,full_time,Zepto|Amazon_Flex,2,8.7,5,4334.72,1,0.01,True,0.05,0.427,3,0.75
